,Title,Published_date,Views,Likes,Comments,Month
0,Why You Won't Reach Your Full Potential,2023-08-16,24731,1835,143,Aug
1,Home Office Desk Tour (I moved to SF!),2023-08-04,21273,1107,111,Aug
2,How to Become a Speed Learner (with ChatGPT),2023-07-26,73695,4509,167,Jul
3,sick of it.,2023-07-07,15988,844,44,Jul
4,ChatGPT Prompts to Learn to Code Faster (and not get bored 🥱),2023-06-24,32407,1764,86,Jun
5,No insurance in 🇺🇸,2023-06-14,15847,385,48,Jun
6,When you need to study but also wanna watch anime 🥹,2023-06-04,8185,650,11,Jun
7,🐙 Lonely Octopus Career Design Training,2023-05-13,18504,827,39,May
8,How to Find Your Perfect Career (in the Age of AI & ChatGPT),2023-05-12,68064,3789,193,May
9,Will AI Replace Programmers?,2023-04-01,200575,9216,1764,Apr
10,Open Letter to Pause AI Development 👀,2023-03-29,17275,825,103,Mar
11,My favourite thing about being a data scientist 👩‍💻,2023-03-12,27507,2098,34,Mar
12,How to learn to code FAST using ChatGPT (it's a game changer seriously),2023-03-02,1887063,67427,1672,Mar
13,How Your Environment Can Improve (Or Destroy) Your Life,2023-02-13,45498,2758,99,Feb
14,Why You Will Pick the Wrong Career,2023-01-28,635161,32972,1121,Jan
15,"64 self-help books, summarized in 1 sentence each.",2023-01-10,117090,6736,254,Jan
16,How to Completely Transform Your Life in 6 Months (the butterfly effect 🦋),2023-01-01,883253,45293,643,Jan
17,Self Study Traps to Avoid in 2023 (stop self-sabotaging!),2022-12-31,474557,25387,403,Dec
18,Power From Adversity: how to harness negative emotions for motivation (very powerful!),2022-12-29,25419,1613,94,Dec
19,Tech Layoffs: important lessons to recession proof yourself,2022-11-27,105214,4932,319,Nov
20,How I Found My Perfect Career (advice for indecisive people and career changers),2022-11-01,337384,21952,647,Nov
21,How to Get Over Fear of Failure (and stop procrastinating),2022-10-18,93117,5721,215,Oct
22,For Anyone Going Through a Tough Time,2022-09-27,66473,3565,313,Sep
23,Habits That Keep Me Sane (when life feels chaotic and uncertain),2022-09-16,47067,2443,169,Sep
24,How to be Successful as an Introvert,2022-07-29,122733,6828,257,Jul
25,Why You Should Study Less,2022-07-21,60272,3257,240,Jul
26,In Defense of Hustle Culture,2022-07-10,67809,3307,403,Jul
27,Why the best students are NOT the most successful,2022-06-27,136816,7545,478,Jun
28,How to Make a Self Study Plan (that you don't give up halfway),2022-06-19,74822,4098,173,Jun
29,I left Meta...and I'm lowkey freaking out 🥲,2022-06-09,232523,12539,770,Jun
30,Why you keep quitting online courses (and then buy more),2022-06-02,245458,10092,621,Jun
